,,delta,delta,delta,delta,theta,theta,theta,theta,alpha,alpha,alpha,alpha,beta,beta,beta,beta,low_gamma,low_gamma,low_gamma,low_gamma,tbr,tbr,tbr,tbr
,,mean,std,sem,median,mean,std,sem,median,mean,std,sem,median,mean,std,sem,median,mean,std,sem,median,mean,std,sem,median
condition,task,,,,,,,,,,,,,,,,,,,,,,,,
baseline,ColorCounting,83.46351222971201,66.00688975210294,24.948259300131745,61.03378299566397,14.646881401182332,10.52591179644555,3.9784207050851506,8.052489975493483,3.3734762848122157,1.768959817878698,0.6686039653390207,2.6622316403173905,4.786008079623266,1.5627740620209627,0.5906730747842425,4.261957177914674,0.7405832979290684,0.4649660752778603,0.17574065760956514,0.485109029009296,2.9830614913567675,1.6768995946776795,0.6338084715917358,2.1859410265993855
baseline,Math,36.96866657175452,24.70232673721728,9.336601907334073,30.768612471484996,7.633364353306591,2.7070372762714747,1.0231639175422818,9.013217386209492,2.3402798038886,1.0286837215798346,0.3888059007200928,1.803186905734437,4.869624641451387,1.3349411246603338,0.5045603186805881,4.59494685483112,0.865409319507515,0.29227424341983765,0.11046928038834954,0.8401844782796061,1.6859242772246812,0.7835147007113658,0.29614072094935373,1.5395668342115443
baseline,Music,15.274519491945552,15.622252763380319,5.904656532927985,6.868037219190342,3.8140130633632015,1.5875606179922315,0.6000415123496369,3.4481340241842773,1.9349650217262244,0.7841723371096285,0.2963892841440548,1.8469545085483319,4.418771213951503,1.6931894346268284,0.6399654523635205,5.182142284056921,1.0973480280441226,0.5318173479496349,0.20100806365494855,1.1455652293024294,1.1024130568115373,0.9154980807508543,0.3460257496319556,0.5776854226866793
baseline,Rest,15.702689310681178,11.013819082775012,4.162832325440028,12.07893646313424,4.129038940548826,1.7582778796327527,0.6645665721791748,4.94749605912519,2.7749340496196178,1.1670141399661729,0.44108988440663105,2.829118497243531,7.962571469003642,5.483879990184633,2.072711810535981,5.711322421487378,1.85310174144653,1.0986094891141103,0.415235356595951,1.7233500854889579,0.7583992980803409,0.6270110363365836,0.23698789591992625,0.4338173259768189
baseline,Retrieval,46.06826441914283,40.87925106408432,15.450904585448521,28.307040400243913,6.427620895846943,2.560124602892007,0.9676361463700345,6.477510542661721,2.8906994983900844,1.421786632749058,0.5373848353785614,2.267077979479096,3.730300464881451,1.076313120069779,0.40680812122009113,3.20672047717936,0.6328213488220124,0.17567797201826021,0.06640003211321148,0.6942781314382511,1.7806884780710845,0.6971505763817549,0.263498150210209,1.8750355055268395
baseline,Video,42.86963453874476,32.413300247191,12.251075946419402,26.800794065257783,10.909321355869627,6.893620361941686,2.6055435872269674,7.370097691014584,2.724380277176817,1.6795759708923848,0.6348200467173013,1.7585631425224244,4.257330838204331,1.559845750824337,0.5895662771860029,3.7890070509767293,0.6611354897725963,0.22571479800321367,0.08531217467766883,0.7730944537017875,2.566888173192506,1.2362861274860542,0.46727223466388473,2.6511099480350553
medication,ColorCounting,37.46012040014195,18.550793919669495,7.011541047750657,25.9589334316227,8.963010688064362,4.484722307276438,1.6950657034624643,7.256985105894181,2.1963870032013078,0.6650070262033244,0.25134903020637284,1.9672420938190627,4.9855569801345965,2.4042112884932987,0.9087064526582047,4.255203255588643,0.9076382733052037,0.467534989434815,0.17671161589510445,0.9806934186255554,1.9945452349590282,1.0250557446360336,0.3874346543264394,1.7377215286616148
medication,Math,35.43219377427668,21.93903207154919,8.292174695255623,30.764515067188853,8.61301306227059,8.363448396881866,3.1610863658673205,6.03248919270973,2.034398328878361,1.05846660848873,0.40006277387530687,1.5124337178293425,5.739542013144714,3.220673207495332,1.2173000516059107,4.55163733106705,1.3818867082484334,1.156521902215629,0.4371241912945592,1.0281168330541401,1.7762642918604592,1.9024400378374842,0.719054746332899,1.451006182841437
