condition,task,day,group,freq_hz,power_uV2_per_Hz
baseline,ColorCounting,1,all,0.5,1.6661661257420488
baseline,ColorCounting,1,all,1.0,39.68591130024714
baseline,ColorCounting,1,all,1.5,76.81193802834768
baseline,ColorCounting,1,all,2.0,67.48504051235481
baseline,ColorCounting,1,all,2.5,48.2118753763919
baseline,ColorCounting,1,all,3.0,37.874367119885655
baseline,ColorCounting,1,all,3.5,23.752868396890428
baseline,ColorCounting,1,all,4.0,16.949934481773397
baseline,ColorCounting,1,all,4.5,9.426456291498194
baseline,ColorCounting,1,all,5.0,7.078426827488445
baseline,ColorCounting,1,all,5.5,3.847404104213204
baseline,ColorCounting,1,all,6.0,3.42416130357255
baseline,ColorCounting,1,all,6.5,2.626533911378887
baseline,ColorCounting,1,all,7.0,3.5134753221648656
baseline,ColorCounting,1,all,7.5,1.5396721210216335
baseline,ColorCounting,1,all,8.0,1.6476618216445913
baseline,ColorCounting,1,all,8.5,1.0808210412731878
baseline,ColorCounting,1,all,9.0,1.243510133159141
baseline,ColorCounting,1,all,9.5,1.0752411144389349
baseline,ColorCounting,1,all,10.0,1.2903881172518026
baseline,ColorCounting,1,all,10.5,1.3101721586036796
baseline,ColorCounting,1,all,11.0,0.8316025576912378
baseline,ColorCounting,1,all,11.5,0.6544715219257535
baseline,ColorCounting,1,all,12.0,0.6113768445834012
baseline,ColorCounting,1,all,12.5,0.3653058063868734
baseline,ColorCounting,1,all,13.0,0.4245943662872925
baseline,ColorCounting,1,all,13.5,0.4542544037897594
baseline,ColorCounting,1,all,14.0,0.2654462950977133
baseline,ColorCounting,1,all,14.5,0.2984453218943116
baseline,ColorCounting,1,all,15.0,0.344537607815327
baseline,ColorCounting,1,all,15.5,0.2535777595996269
baseline,ColorCounting,1,all,16.0,0.2744591473433027
baseline,ColorCounting,1,all,16.5,0.2813705052981977
baseline,ColorCounting,1,all,17.0,0.3989802677698388
baseline,ColorCounting,1,all,17.5,0.3120459198842889
baseline,ColorCounting,1,all,18.0,0.4091127720396504
baseline,ColorCounting,1,all,18.5,0.4074030003588778
baseline,ColorCounting,1,all,19.0,0.3216663975305486
baseline,ColorCounting,1,all,19.5,0.3129106492978969
baseline,ColorCounting,1,all,20.0,0.3147743616349558
baseline,ColorCounting,1,all,20.5,0.3450063442233585
baseline,ColorCounting,1,all,21.0,0.3341064040135013
baseline,ColorCounting,1,all,21.5,0.3282550614487576
baseline,ColorCounting,1,all,22.0,0.2328362728460195
baseline,ColorCounting,1,all,22.5,0.2105080438675374
baseline,ColorCounting,1,all,23.0,0.2077853043346137
baseline,ColorCounting,1,all,23.5,0.2393147715359248
